"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"629"	70	629	2	1	"Genetic"
"630"	71	630	2	1	"Genetic"
"631"	71	631	2	0	"Genetic"
"632"	78	632	2	0	"Genetic"
"633"	86	633	2	0	"Genetic"
"634"	86	634	2	1	"Genetic"
"635"	86	635	2	0	"Genetic"
"636"	86	636	2	0	"Genetic"
"637"	92	637	2	0	"Genetic"
"638"	92	638	2	1	"Genetic"
"639"	92	639	2	1	"Genetic"
"640"	93	640	2	1	"Genetic"
"641"	98	641	2	0	"Genetic"
"642"	100	642	2	0	"Genetic"
"643"	104	643	2	1	"Genetic"
"644"	106	644	2	1	"Genetic"
"645"	106	645	2	1	"Genetic"
"646"	107	646	2	0	"Genetic"
"647"	107	647	2	0	"Genetic"
"648"	110	648	2	1	"Genetic"
"649"	111	649	2	0	"Genetic"
"650"	114	650	2	1	"Genetic"
"651"	115	651	2	1	"Genetic"
"652"	119	652	2	0	"Genetic"
"653"	120	653	2	0	"Genetic"
"654"	122	654	2	0	"Genetic"
"655"	134	655	2	0	"Genetic"
"656"	134	656	2	0	"Genetic"
"657"	137	657	2	0	"Genetic"
"658"	137	658	2	0	"Genetic"
"659"	137	659	2	1	"Genetic"
"660"	137	660	2	0	"Genetic"
"661"	137	661	2	0	"Genetic"
"662"	137	662	2	1	"Genetic"
"663"	139	663	2	0	"Genetic"
"664"	139	664	2	0	"Genetic"
"665"	140	665	2	0	"Genetic"
"666"	141	666	2	1	"Genetic"
"667"	141	667	2	0	"Genetic"
"668"	141	668	2	0	"Genetic"
"669"	143	669	2	0	"Genetic"
"670"	143	670	2	0	"Genetic"
"671"	149	671	2	1	"Genetic"
"672"	154	672	2	1	"Genetic"
"673"	154	673	2	1	"Genetic"
"674"	154	674	2	1	"Genetic"
"675"	155	675	2	0	"Genetic"
"676"	155	676	2	0	"Genetic"
"677"	155	677	2	1	"Genetic"
"678"	162	678	2	1	"Genetic"
"679"	162	679	2	0	"Genetic"
"680"	162	680	2	0	"Genetic"
"681"	163	681	2	1	"Genetic"
"682"	167	682	2	0	"Genetic"
